# 时间戳 X坐标 Y坐标 朝向角度 线速度 角速度 障碍物距离 计算时间
# 单位:  秒   米    米    弧度   米/秒  弧度/秒   米      秒
1753260148.141364 -0.000187 0.000000 -0.000060 0.000000 0.000000 0.765955 0.100000
1753260148.241529 -0.000189 0.000000 -0.000061 0.000000 0.000000 0.765451 0.100000
1753260148.341590 -0.000191 0.000000 -0.000062 0.199979 -0.010533 0.763715 0.100000
1753260148.441818 0.000011 -0.000000 -0.000412 0.199979 -0.010533 0.765680 0.100000
1753260148.542023 0.002610 -0.000003 -0.001450 0.240388 -0.020898 0.771492 0.100000
1753260148.642234 0.008209 -0.000014 -0.002831 0.240388 -0.020898 0.780948 0.100000
1753260148.742418 0.016807 -0.000048 -0.004896 0.300387 -0.010141 0.793474 0.100000
1753260148.842711 0.028406 -0.000117 -0.006607 0.300387 -0.010141 0.812300 0.100000
1753260148.942828 0.043005 -0.000221 -0.007600 0.360385 0.000000 0.834321 0.100000
1753260149.042929 0.060602 -0.000362 -0.008246 0.360385 0.000000 0.860837 0.100000
1753260149.147744 0.081200 -0.000532 -0.008219 0.420381 -0.010234 0.891396 0.100000
1753260149.245991 0.104797 -0.000727 -0.008554 0.420381 -0.010234 0.928318 0.100000
1753260149.344063 0.131395 -0.000968 -0.009568 0.420381 -0.010234 0.955327 0.100000
1753260149.444072 0.160992 -0.001266 -0.010312 0.480389 0.000000 0.999180 0.100000
1753260149.544118 0.193589 -0.001602 -0.010338 0.480389 0.000000 1.046807 0.100000
1753260149.643358 0.229186 -0.001970 -0.010317 0.500000 0.000000 1.097979 0.100000
1753260149.743530 0.267780 -0.002367 -0.010235 0.500000 0.000000 1.156651 0.100000
1753260149.843748 0.309372 -0.002790 -0.010134 0.500000 0.000000 1.219712 0.100000
1753260149.943028 0.353967 -0.003241 -0.010104 0.500000 0.000000 1.282348 0.100000
1753260150.043216 0.401562 -0.003726 -0.010508 0.500000 -0.010825 1.350481 0.100000
1753260150.143380 0.451419 -0.004280 -0.011671 0.500000 -0.010825 1.420463 0.100000
1753260150.243675 0.501412 -0.004887 -0.012389 0.500000 -0.000558 1.492819 0.100000
1753260150.342892 0.551402 -0.005504 -0.012289 0.500000 -0.000558 1.566990 0.100000
1753260150.443147 0.601394 -0.006120 -0.012572 0.500000 -0.009889 1.635941 0.100000
1753260150.543355 0.651387 -0.006777 -0.013719 0.500000 -0.009889 1.700213 0.100000
1753260150.643655 0.701381 -0.007488 -0.014533 0.500000 -0.001111 1.773788 0.100000
1753260150.742937 0.751372 -0.008215 -0.014528 0.500000 -0.001111 1.847115 0.100000
1753260150.843045 0.801361 -0.008942 -0.014700 0.500000 -0.009230 1.917665 0.100000
1753260150.943217 0.851353 -0.009700 -0.015671 0.500000 -0.009230 1.855830 0.100000
1753260151.043462 0.901344 -0.010510 -0.016532 0.500000 -0.000372 1.806757 0.100000
1753260151.143574 0.951336 -0.011339 -0.016597 0.500000 -0.000372 1.732255 0.100000
1753260151.243693 1.001325 -0.012167 -0.016698 0.500000 -0.009889 1.657286 0.100000
1753260151.343901 1.051312 -0.013022 -0.017546 0.500000 -0.009889 1.583270 0.100000
1753260151.443023 1.101302 -0.013923 -0.017990 0.500000 0.021653 1.511600 0.100000
1753260151.543166 1.151292 -0.014773 -0.016022 0.500000 0.021653 1.440111 0.100000
1753260151.643295 1.201283 -0.015522 -0.014083 0.500000 0.010138 1.369668 0.100000
1753260151.743464 1.251273 -0.016196 -0.012876 0.500000 0.010138 1.301232 0.100000
1753260151.843754 1.301141 -0.016812 -0.012061 0.477768 0.000000 1.232199 0.100000
1753260151.943308 1.349224 -0.017395 -0.012242 0.477768 0.000000 1.167346 0.100000
1753260152.043474 1.397104 -0.017985 -0.012197 0.500000 0.008296 1.103542 0.100000
1753260152.143741 1.446758 -0.018568 -0.011266 0.500000 0.008296 1.037864 0.100000
1753260152.244012 1.496751 -0.019104 -0.009952 0.500000 0.020163 0.976815 0.100000
1753260152.344183 1.546743 -0.019550 -0.007913 0.500000 0.020163 0.919936 0.100000
1753260152.443323 1.596598 -0.019902 -0.006766 0.477775 -0.012487 0.867295 0.100000
1753260152.543516 1.644657 -0.020260 -0.008093 0.477775 -0.012487 0.817906 0.100000
1753260152.643548 1.692571 -0.020674 -0.008944 0.500000 -0.001822 0.772792 0.100000
1753260152.743815 1.742278 -0.021119 -0.008985 0.500000 -0.001822 0.746464 0.100000
1753260152.844101 1.792272 -0.021574 -0.009427 0.500000 -0.011521 0.710641 0.100000
1753260152.944195 1.842267 -0.022078 -0.010745 0.500000 -0.011521 0.683010 0.100000
1753260153.044312 1.892262 -0.022645 -0.011720 0.500000 -0.002451 0.665705 0.100000
1753260153.144316 1.942256 -0.023234 -0.011828 0.500000 -0.002451 0.655504 0.100000
1753260153.244653 1.992246 -0.023829 -0.012189 0.500000 -0.011123 0.657133 0.100000
1753260153.344009 2.042240 -0.024468 -0.013408 0.500000 -0.011123 0.667553 0.100000
1753260153.444232 2.092233 -0.025169 -0.014450 0.500000 -0.002674 0.686405 0.100000
1753260153.544367 2.142225 -0.025898 -0.014682 0.500000 -0.002674 0.712698 0.100000
1753260153.644642 2.192216 -0.026634 -0.014704 0.500000 0.000000 0.749869 0.100000
1753260153.743903 2.242206 -0.027366 -0.014627 0.500000 0.000000 0.791744 0.100000
1753260153.844048 2.292198 -0.028101 -0.014778 0.500000 0.000000 0.786018 0.100000
1753260153.944166 2.342191 -0.028844 -0.014922 0.500000 0.000000 0.761706 0.100000
1753260154.044304 2.392182 -0.029589 -0.014825 0.500000 0.000000 0.741050 0.100000
1753260154.144523 2.442171 -0.030326 -0.014647 0.500000 0.000000 0.720410 0.100000
1753260154.244822 2.492163 -0.031058 -0.014897 0.500000 -0.009003 0.706010 0.100000
1753260154.344967 2.542155 -0.031830 -0.015985 0.500000 -0.009003 0.694165 0.100000
1753260154.444072 2.592147 -0.032653 -0.016740 0.500000 -0.000387 0.686111 0.100000
1753260154.544140 2.642136 -0.033488 -0.016645 0.500000 -0.000387 0.680906 0.100000
1753260154.644506 2.692123 -0.034317 -0.016506 0.500000 0.000000 0.676762 0.100000
1753260154.744744 2.742114 -0.035143 -0.016582 0.500000 0.000000 0.676797 0.100000
1753260154.844936 2.792105 -0.035977 -0.016773 0.500000 0.000000 0.675980 0.100000
1753260154.944981 2.842096 -0.036816 -0.016776 0.500000 0.000000 0.674789 0.100000
1753260155.045147 2.892084 -0.037651 -0.016600 0.500000 0.000000 0.673920 0.100000
1753260155.145352 2.942073 -0.038478 -0.016519 0.500000 0.000000 0.673765 0.100000
1753260155.244510 2.992063 -0.039306 -0.016647 0.500000 0.000000 0.672486 0.100000
1753260155.344664 3.042055 -0.040143 -0.016796 0.500000 0.000000 0.671886 0.100000
1753260155.444881 3.092045 -0.040982 -0.016734 0.500000 0.000000 0.670582 0.100000
1753260155.546326 3.142033 -0.041814 -0.016561 0.500000 0.000000 0.671131 0.100000
1753260155.646468 3.192023 -0.042640 -0.016526 0.500000 0.000000 0.669674 0.100000
1753260155.745590 3.242014 -0.043470 -0.016704 0.500000 0.000000 0.667997 0.100000
1753260155.845869 3.292005 -0.044309 -0.016805 0.500000 0.000000 0.667017 0.100000
1753260155.945110 3.341994 -0.045147 -0.016676 0.500000 0.000000 0.667286 0.100000
1753260156.045421 3.391980 -0.045976 -0.016512 0.500000 0.000000 0.665699 0.100000
1753260156.145605 3.441970 -0.046801 -0.016557 0.500000 0.000000 0.665857 0.100000
1753260156.244869 3.491961 -0.047634 -0.016738 0.500000 0.000000 0.664723 0.100000
1753260156.345059 3.541952 -0.048472 -0.016771 0.500000 0.000000 0.663034 0.100000
1753260156.445215 3.591941 -0.049307 -0.016633 0.500000 0.000000 0.662529 0.100000
1753260156.545467 3.641929 -0.050135 -0.016489 0.500000 0.000000 0.662359 0.100000
1753260156.644688 3.691920 -0.050961 -0.016597 0.500000 0.000000 0.661741 0.100000
1753260156.744776 3.741911 -0.051795 -0.016774 0.500000 0.000000 0.662467 0.100000
1753260156.844971 3.791901 -0.052634 -0.016740 0.500000 0.000000 0.666927 0.100000
1753260156.945184 3.841890 -0.053467 -0.016572 0.500000 0.000000 0.677513 0.100000
1753260157.045367 3.891879 -0.054293 -0.016493 0.500000 0.000000 0.688659 0.100000
1753260157.145636 3.941870 -0.055120 -0.016640 0.500000 0.000000 0.704456 0.100000
1753260157.245807 3.991861 -0.055957 -0.016787 0.500000 0.000000 0.724768 0.100000
1753260157.345809 4.041850 -0.056795 -0.016689 0.500000 0.000000 0.748654 0.100000
1753260157.445813 4.091839 -0.057623 -0.016200 0.500000 0.013133 0.741269 0.100000
1753260157.547020 4.141830 -0.058399 -0.014885 0.500000 0.013133 0.708374 0.100000
1753260157.646286 4.191823 -0.059117 -0.014099 0.500000 0.000000 0.684542 0.100000
1753260157.746411 4.241816 -0.059824 -0.014169 0.500000 0.000000 0.661973 0.100000
1753260157.846627 4.291808 -0.060530 -0.014042 0.500000 0.000000 0.646762 0.100000
1753260157.946958 4.341797 -0.061228 -0.013887 0.500000 0.000000 0.627804 0.100000
1753260158.047073 4.391790 -0.061923 -0.013958 0.500000 0.000000 0.612822 0.100000
1753260158.147072 4.441783 -0.062625 -0.014143 0.500000 0.000000 0.600906 0.100000
1753260158.247404 4.491776 -0.063334 -0.014151 0.500000 0.000000 0.594067 0.100000
1753260158.346486 4.541765 -0.064037 -0.013966 0.500000 0.000000 0.593187 0.100000
1753260158.446632 4.591754 -0.064732 -0.013873 0.500000 0.000000 0.593002 0.100000
1753260158.546703 4.641747 -0.065428 -0.014002 0.500000 0.000000 0.592195 0.100000
1753260158.646943 4.691741 -0.066129 -0.013565 0.500000 0.029607 0.593630 0.100000
1753260158.747096 4.741734 -0.066733 -0.010561 0.500000 0.029607 0.592797 0.100000
1753260158.847342 4.791726 -0.067185 -0.007668 0.500000 0.020156 0.593373 0.100000
1753260158.947444 4.841721 -0.067515 -0.005599 0.500000 0.020156 0.593902 0.100000
1753260159.046714 4.891718 -0.067752 -0.004266 0.500000 0.000000 0.594672 0.100000
1753260159.146843 4.941716 -0.067968 -0.004371 0.500000 0.000000 0.594791 0.100000
1753260159.247082 4.991712 -0.068183 -0.003970 0.500000 0.010565 0.594394 0.100000
