# 时间戳 X坐标 Y坐标 朝向角度 线速度 角速度 障碍物距离 计算时间
# 单位:  秒   米    米    弧度   米/秒  弧度/秒   米      秒
1753259121.374119 2.431888 -0.038797 -0.019688 0.500000 0.000000 0.717407 0.100000
1753259121.474190 2.481875 -0.039779 -0.019634 0.500000 0.012473 0.699853 0.100000
1753259121.574352 2.531863 -0.040743 -0.018784 0.500000 0.012473 0.686574 0.100000
1753259121.674488 2.581853 -0.041655 -0.017652 0.477775 -0.000249 0.676312 0.100000
1753259121.774650 2.630695 -0.042507 -0.017371 0.477775 -0.000249 0.670789 0.100000
1753259121.873911 2.678460 -0.043332 -0.017215 0.500000 0.011857 0.667483 0.100000
1753259121.973989 2.727467 -0.044153 -0.016195 0.500000 0.011857 0.666443 0.100000
1753259122.074212 2.777456 -0.044937 -0.015180 0.500000 0.000000 0.665121 0.100000
1753259122.174472 2.827449 -0.045692 -0.015093 0.500000 0.000000 0.664159 0.100000
1753259122.274626 2.877438 -0.046443 -0.014946 0.500000 0.000000 0.664019 0.100000
1753259122.374788 2.927426 -0.047187 -0.014816 0.500000 0.000000 0.663293 0.100000
1753259122.474953 2.977418 -0.047928 -0.014893 0.500000 0.000000 0.661977 0.100000
1753259122.573913 3.027410 -0.048677 -0.015064 0.500000 0.000000 0.661162 0.100000
1753259122.674060 3.077402 -0.049431 -0.015064 0.500000 0.000000 0.660570 0.100000
1753259122.774214 3.127393 -0.050181 -0.014909 0.500000 0.000000 0.660446 0.100000
1753259122.874356 3.177382 -0.050923 -0.014799 0.500000 0.000000 0.659087 0.100000
1753259122.974418 3.227375 -0.051665 -0.014938 0.500000 0.000000 0.658696 0.100000
1753259123.074616 3.277368 -0.052416 -0.015092 0.500000 0.000000 0.656196 0.100000
1753259123.174871 3.327358 -0.053170 -0.015023 0.500000 0.000000 0.656729 0.100000
1753259123.275101 3.377346 -0.053917 -0.014836 0.500000 0.000000 0.655071 0.100000
1753259123.375244 3.427336 -0.054657 -0.014813 0.500000 0.000000 0.655585 0.100000
1753259123.474194 3.477329 -0.055401 -0.014982 0.500000 0.000000 0.653708 0.100000
1753259123.574330 3.527321 -0.056153 -0.015078 0.500000 0.000000 0.652772 0.100000
1753259123.674548 3.577312 -0.056905 -0.014970 0.500000 0.000000 0.653015 0.100000
1753259123.774592 3.627301 -0.057649 -0.014800 0.500000 0.000000 0.651037 0.100000
1753259123.874633 3.677293 -0.058389 -0.014838 0.500000 0.000000 0.649608 0.100000
1753259123.974705 3.727286 -0.059135 -0.015030 0.500000 0.000000 0.652364 0.100000
1753259124.074965 3.777278 -0.059889 -0.015068 0.500000 0.000000 0.655636 0.100000
1753259124.175149 3.827269 -0.060639 -0.014927 0.500000 0.000000 0.662158 0.100000
1753259124.275301 3.877258 -0.061380 -0.014778 0.500000 0.000000 0.673263 0.100000
1753259124.374513 3.927250 -0.062121 -0.014875 0.500000 0.000000 0.689037 0.100000
1753259124.474781 3.977243 -0.062870 -0.015060 0.500000 0.000000 0.708580 0.100000
1753259124.575057 4.027234 -0.063623 -0.015036 0.500000 0.000000 0.728884 0.100000
1753259124.675159 4.077224 -0.064370 -0.014865 0.500000 0.011994 0.753351 0.100000
1753259124.775319 4.127215 -0.065086 -0.013695 0.500000 0.011994 0.731254 0.100000
1753259124.874464 4.177209 -0.065744 -0.012648 0.500000 0.000000 0.702896 0.100000
1753259124.974606 4.227203 -0.066375 -0.012667 0.500000 0.000000 0.679762 0.100000
1753259125.074933 4.277195 -0.067007 -0.012584 0.500000 0.000000 0.657349 0.100000
1753259125.175044 4.327187 -0.067632 -0.012411 0.500000 0.000000 0.639629 0.100000
1753259125.275204 4.377180 -0.068251 -0.012408 0.500000 0.000000 0.623015 0.100000
1753259125.375286 4.427174 -0.068875 -0.012589 0.500000 0.000000 0.612470 0.100000
1753259125.474468 4.477168 -0.069508 -0.012669 0.500000 0.008570 0.605126 0.100000
1753259125.574634 4.527159 -0.070121 -0.011755 0.500000 0.008570 0.601955 0.100000
1753259125.674941 4.577149 -0.070683 -0.010745 0.500000 0.021036 0.601674 0.100000
1753259125.775133 4.627144 -0.071176 -0.008880 0.500000 0.021036 0.602551 0.100000
1753259125.875297 4.677141 -0.071572 -0.006951 0.500000 0.000000 0.601620 0.100000
1753259125.974497 4.727137 -0.071909 -0.006702 0.500000 0.000000 0.604214 0.100000
1753259126.074650 4.777132 -0.072240 -0.006551 0.500000 0.032694 0.603716 0.100000
1753259126.174835 4.827127 -0.072511 -0.003836 0.500000 0.032694 0.602169 0.100000
1753259126.274961 4.877124 -0.072623 -0.000676 0.500000 0.021980 0.602487 0.100000
1753259126.375175 4.927123 -0.072601 0.001506 0.500000 0.021980 0.603283 0.100000
1753259126.475368 4.977119 -0.072470 0.003755 0.500000 0.052984 0.603465 0.100000
1753259126.575619 5.027111 -0.072167 0.008759 0.500000 0.052984 0.601465 0.100000
1753259126.675735 5.077103 -0.071594 0.014095 0.500000 0.043786 0.600641 0.100000
1753259126.775965 5.127094 -0.070778 0.018446 0.500000 0.043786 0.599853 0.100000
1753259126.876072 5.177082 -0.069750 0.022720 0.477776 0.031476 0.598347 0.100000
1753259126.975202 5.225783 -0.068560 0.026086 0.477776 0.031476 0.596914 0.100000
1753259127.075253 5.273537 -0.067235 0.029377 0.500000 0.043624 0.594919 0.100000
1753259127.175397 5.322525 -0.065694 0.033583 0.500000 0.043624 0.591511 0.100000
1753259127.275539 5.372489 -0.063910 0.037789 0.500000 0.053042 0.590268 0.100000
1753259127.375707 5.422447 -0.061895 0.042935 0.500000 0.053042 0.588367 0.100000
1753259127.475974 5.472390 -0.059614 0.048369 0.500000 0.042916 0.584573 0.100000
1753259127.576084 5.522320 -0.057081 0.052908 0.500000 0.042916 0.582703 0.100000
1753259127.676268 5.572241 -0.054330 0.057132 0.477771 -0.030159 0.580249 0.100000
1753259127.776356 5.621010 -0.051524 0.056337 0.477771 -0.030159 0.581093 0.100000
1753259127.875484 5.668715 -0.048907 0.053294 0.475314 -0.041736 0.585690 0.100000
