# 时间戳 X坐标 Y坐标 朝向角度 线速度 角速度 障碍物距离 计算时间
# 单位:  秒   米    米    弧度   米/秒  弧度/秒   米      秒
1753259656.156089 -0.000520 0.000000 -0.000173 0.000000 0.000000 0.764215 0.100000
1753259656.256474 -0.000522 0.000000 -0.000174 0.000000 0.000000 0.764620 0.100000
1753259656.356755 -0.000195 -0.000000 -0.000628 0.199979 -0.010534 0.762517 0.100000
1753259656.456876 0.002704 -0.000004 -0.001668 0.199979 -0.010534 0.766061 0.100000
1753259656.556016 0.008603 -0.000018 -0.003156 0.243390 -0.020924 0.775816 0.100000
1753259656.656243 0.017501 -0.000055 -0.005225 0.243390 -0.020924 0.784471 0.100000
1753259656.756455 0.029400 -0.000129 -0.006830 0.303388 -0.010172 0.802788 0.100000
1753259656.856477 0.044298 -0.000238 -0.007822 0.303388 -0.010172 0.823984 0.100000
1753259656.956644 0.062196 -0.000386 -0.008405 0.363383 0.000000 0.840879 0.100000
1753259657.056846 0.083093 -0.000561 -0.008372 0.363383 0.000000 0.868981 0.100000
1753259657.157016 0.106990 -0.000763 -0.008765 0.423379 -0.010198 0.902916 0.100000
1753259657.257138 0.133888 -0.001013 -0.009776 0.423379 -0.010198 0.939920 0.100000
1753259657.356542 0.163785 -0.001319 -0.010459 0.483389 0.000000 0.981101 0.100000
1753259657.456684 0.196682 -0.001663 -0.010484 0.483389 0.000000 1.025296 0.100000
1753259657.556843 0.232578 -0.002039 -0.010460 0.500000 0.000000 1.078184 0.100000
1753259657.657048 0.271472 -0.002445 -0.010374 0.500000 0.000000 1.135357 0.100000
1753259657.757196 0.313364 -0.002880 -0.010629 0.500000 -0.009468 1.195016 0.100000
1753259657.857332 0.358259 -0.003378 -0.011551 0.500000 -0.009468 1.259874 0.100000
1753259657.957492 0.406152 -0.003952 -0.012224 0.500000 0.000000 1.325992 0.100000
1753259658.056615 0.456083 -0.004565 -0.012304 0.500000 0.000000 1.393322 0.100000
1753259658.156845 0.506075 -0.005182 -0.012587 0.500000 -0.010604 1.466298 0.100000
1753259658.256985 0.556065 -0.005833 -0.013484 0.500000 -0.010604 1.539083 0.100000
1753259658.357149 0.606056 -0.006531 -0.014208 0.500000 0.000000 1.608606 0.100000
1753259658.458639 0.656049 -0.007245 -0.014383 0.500000 0.000000 1.675778 0.100000
1753259658.557782 0.706042 -0.007971 -0.014864 0.500000 -0.012135 1.745335 0.100000
1753259658.657821 0.756032 -0.008741 -0.015935 0.500000 -0.012135 1.797004 0.100000
1753259658.756897 0.806021 -0.009560 -0.016574 0.500000 -0.000343 1.867923 0.100000
1753259658.857076 0.856011 -0.010390 -0.016679 0.500000 -0.000343 1.936815 0.100000
1753259658.957175 0.906002 -0.011229 -0.016870 0.500000 0.000000 1.934332 0.100000
1753259659.057271 0.955993 -0.012074 -0.016874 0.500000 0.000000 1.887147 0.100000
1753259659.157693 1.005982 -0.012914 -0.016721 0.500000 0.000000 1.840320 0.100000
1753259659.256948 1.055970 -0.013746 -0.016610 0.500000 0.000000 1.789773 0.100000
1753259659.357174 1.105961 -0.014583 -0.017157 0.500000 -0.010725 1.743505 0.100000
1753259659.457481 1.155952 -0.015472 -0.018387 0.500000 -0.010725 1.698508 0.100000
1753259659.557513 1.205940 -0.016414 -0.019047 0.500000 -0.000837 1.649734 0.100000
1753259659.657712 1.255927 -0.017364 -0.018967 0.500000 -0.000837 1.605409 0.100000
1753259659.757753 1.305914 -0.018315 -0.019313 0.500000 -0.009551 1.559637 0.100000
1753259659.857844 1.355901 -0.019308 -0.020440 0.500000 -0.009551 1.513747 0.100000
1753259659.957138 1.405889 -0.020354 -0.021169 0.500000 -0.001074 1.467634 0.100000
1753259660.057235 1.455875 -0.021413 -0.021168 0.500000 -0.001074 1.423595 0.100000
1753259660.157484 1.505857 -0.022469 -0.021051 0.500000 0.000000 1.377568 0.100000
1753259660.257773 1.555844 -0.023521 -0.021084 0.500000 0.000000 1.332257 0.100000
1753259660.358027 1.605831 -0.024580 -0.021277 0.500000 0.000000 1.302682 0.100000
1753259660.457130 1.655817 -0.025646 -0.021327 0.500000 0.000000 1.259138 0.100000
1753259660.557449 1.705800 -0.026708 -0.021154 0.500000 0.000000 1.215652 0.100000
1753259660.657666 1.755783 -0.027762 -0.021030 0.500000 0.000000 1.172277 0.100000
1753259660.757828 1.805769 -0.028815 -0.021132 0.500000 0.000000 1.132524 0.100000
1753259660.857968 1.855756 -0.029876 -0.021301 0.500000 0.000000 1.092277 0.100000
1753259660.958102 1.905742 -0.030941 -0.021275 0.500000 0.000000 1.052436 0.100000
1753259661.058316 1.955727 -0.032001 -0.021108 0.500000 0.000000 1.011628 0.100000
1753259661.157441 2.005712 -0.033053 -0.021027 0.500000 0.000000 0.973632 0.100000
1753259661.257743 2.055698 -0.034108 -0.021183 0.500000 0.000000 0.938227 0.100000
1753259661.357921 2.105685 -0.035171 -0.021321 0.500000 0.000000 0.903089 0.100000
1753259661.458148 2.155670 -0.036235 -0.021224 0.500000 0.000000 0.869684 0.100000
1753259661.558425 2.205654 -0.037292 -0.021058 0.500000 0.000000 0.837446 0.100000
1753259661.657578 2.255640 -0.038344 -0.021049 0.500000 0.000000 0.807464 0.100000
1753259661.757685 2.305627 -0.039400 -0.021235 0.500000 0.000000 0.779882 0.100000
1753259661.857895 2.355614 -0.040465 -0.021315 0.500000 0.000000 0.754442 0.100000
1753259661.958075 2.405599 -0.041528 -0.021183 0.500000 0.000000 0.738096 0.100000
1753259662.058197 2.455582 -0.042582 -0.021018 0.500000 0.000000 0.717266 0.100000
1753259662.158401 2.505569 -0.043634 -0.021087 0.500000 0.000000 0.698864 0.100000
1753259662.258578 2.555556 -0.044693 -0.021282 0.500000 0.000000 0.675971 0.100000
1753259662.358649 2.605542 -0.045755 -0.020945 0.500000 0.009155 0.657742 0.100000
1753259662.457859 2.655528 -0.046775 -0.019874 0.500000 0.009155 0.642268 0.100000
1753259662.558073 2.705513 -0.047745 -0.019173 0.500000 0.000000 0.628305 0.100000
1753259662.658306 2.755502 -0.048706 -0.019294 0.500000 0.000000 0.617631 0.100000
1753259662.758502 2.805490 -0.049673 -0.019154 0.500000 0.008561 0.609550 0.100000
1753259662.858607 2.855478 -0.050609 -0.018244 0.500000 0.008561 0.605633 0.100000
1753259662.958752 2.905465 -0.051498 -0.017518 0.500000 -0.000166 0.604641 0.100000
1753259663.058858 2.955454 -0.052371 -0.017476 0.500000 -0.000166 0.606947 0.100000
1753259663.158059 3.005444 -0.053249 -0.017659 0.500000 0.000000 0.610754 0.100000
1753259663.258213 3.055434 -0.054136 -0.017790 0.500000 0.000000 0.621538 0.100000
1753259663.358409 3.105424 -0.055019 -0.017270 0.500000 0.010509 0.632007 0.100000
1753259663.458548 3.155410 -0.055851 -0.016027 0.500000 0.010509 0.652598 0.100000
1753259663.558635 3.205402 -0.056630 -0.015397 0.500000 0.000000 0.654974 0.100000
1753259663.658802 3.255393 -0.057404 -0.015593 0.500000 0.000000 0.653846 0.100000
1753259663.758924 3.305385 -0.058186 -0.015642 0.500000 0.000000 0.653011 0.100000
1753259663.859050 3.355374 -0.058964 -0.015475 0.500000 0.000000 0.652340 0.100000
1753259663.959225 3.405362 -0.059734 -0.015352 0.500000 0.000000 0.650491 0.100000
1753259664.058481 3.455353 -0.060503 -0.015450 0.500000 0.000000 0.651190 0.100000
1753259664.158698 3.505345 -0.061280 -0.015618 0.500000 0.000000 0.650138 0.100000
1753259664.258789 3.555336 -0.062062 -0.015594 0.500000 0.000000 0.649328 0.100000
1753259664.358855 3.605326 -0.062837 -0.015431 0.500000 0.000000 0.648752 0.100000
1753259664.459059 3.655316 -0.063606 -0.015346 0.500000 0.000000 0.648350 0.100000
1753259664.560406 3.705308 -0.064372 -0.015109 0.500000 0.009992 0.647003 0.100000
1753259664.662742 3.755301 -0.065107 -0.014252 0.500000 0.009992 0.646661 0.100000
1753259664.764891 3.805293 -0.065796 -0.013518 0.500000 0.000000 0.654677 0.100000
1753259664.870375 3.855283 -0.066467 -0.013333 0.500000 0.000000 0.662453 0.100000
1753259664.990605 3.905276 -0.067133 -0.013327 0.500000 0.000000 0.674833 0.100000
1753259665.123215 3.955269 -0.067803 -0.013510 0.500000 0.000000 0.690535 0.100000
1753259665.274025 4.005263 -0.068482 -0.013602 0.500000 0.000000 0.709413 0.100000
1753259665.414186 4.055254 -0.069159 -0.013466 0.500000 0.000000 0.731711 0.100000
1753259665.527009 4.105244 -0.069823 -0.012805 0.500000 0.013035 0.747319 0.100000
1753259665.631357 4.155238 -0.070431 -0.011560 0.500000 0.013035 0.737214 0.100000
1753259665.732455 4.205233 -0.070986 -0.010893 0.500000 0.000794 0.707957 0.100000
1753259665.834603 4.255228 -0.071530 -0.010827 0.500000 0.000794 0.683609 0.100000
1753259665.935737 4.305222 -0.072061 -0.010152 0.500000 0.012282 0.661096 0.100000
1753259666.035894 4.355214 -0.072534 -0.008805 0.500000 0.012282 0.642456 0.100000
1753259666.138135 4.405211 -0.072950 -0.008141 0.500000 0.000000 0.628066 0.100000
1753259666.239264 4.455207 -0.073362 -0.008303 0.500000 0.000000 0.614766 0.100000
1753259666.339480 4.505202 -0.073776 -0.008254 0.500000 0.000000 0.607120 0.100000
1753259666.439701 4.555194 -0.074184 -0.008067 0.500000 0.000000 0.601631 0.100000
1753259666.539754 4.605188 -0.074586 -0.008030 0.500000 0.000000 0.603472 0.100000
1753259666.639877 4.655184 -0.074991 -0.008193 0.500000 0.000000 0.603341 0.100000
1753259666.740053 4.705181 -0.075393 -0.006896 0.500000 0.050723 0.603414 0.100000
1753259666.840245 4.755178 -0.075610 -0.001744 0.500000 0.050723 0.604329 0.100000
1753259666.940367 4.805170 -0.075574 0.002552 0.500000 0.021383 0.602557 0.100000
1753259667.040530 4.855167 -0.075392 0.004680 0.500000 0.021383 0.603304 0.100000
1753259667.140807 4.905163 -0.075106 0.006940 0.500000 0.030413 0.602574 0.100000
1753259667.239914 4.955160 -0.074686 0.009899 0.500000 0.030413 0.601605 0.100000
1753259667.340071 5.005153 -0.074108 0.013498 0.500000 0.041569 0.601705 0.100000
1753259667.440189 5.055139 -0.073324 0.017836 0.500000 0.041569 0.599781 0.100000
1753259667.540427 5.105127 -0.072334 0.021532 0.500000 0.031571 0.597955 0.100000
1753259667.640538 5.155112 -0.071183 0.024495 0.500000 0.031571 0.596572 0.100000
1753259667.740641 5.205092 -0.069878 0.028000 0.500000 0.040738 0.596604 0.100000
1753259667.840757 5.255065 -0.068372 0.032243 0.500000 0.040738 0.594082 0.100000
1753259667.940976 5.305030 -0.066658 0.036101 0.500000 0.032503 0.592573 0.100000
1753259668.041194 5.354992 -0.064775 0.039200 0.500000 0.032503 0.589453 0.100000
1753259668.140313 5.404949 -0.062744 0.041825 0.500000 0.019694 0.586623 0.100000
1753259668.240489 5.454900 -0.060603 0.043871 0.500000 0.019694 0.585431 0.100000
1753259668.340638 5.504844 -0.058353 0.046451 0.500000 0.031412 0.583504 0.100000
1753259668.440774 5.554783 -0.055951 0.049606 0.500000 0.031412 0.580875 0.100000
1753259668.540920 5.604716 -0.053409 0.051130 0.500000 -0.022384 0.579368 0.100000
1753259668.641135 5.654652 -0.050911 0.048824 0.500000 -0.022384 0.583144 0.100000
1753259668.741259 5.704591 -0.048521 0.047118 0.500000 -0.011701 0.588144 0.100000
1753259668.840312 5.754531 -0.046192 0.046089 0.500000 -0.011701 0.601819 0.100000
1753259668.941360 5.804476 -0.043921 0.044502 0.500000 -0.021567 0.616337 0.100000
1753259669.040542 5.854427 -0.041755 0.042176 0.500000 -0.021567 0.630394 0.100000
1753259669.140628 5.904383 -0.039699 0.040338 0.500000 -0.012415 0.651205 0.100000
1753259669.240813 5.954340 -0.037710 0.039236 0.500000 -0.012415 0.676738 0.100000
1753259669.341035 6.004297 -0.035773 0.038478 0.500000 -0.001150 0.702740 0.100000
1753259669.441328 6.054258 -0.033855 0.038254 0.500000 -0.001150 0.731573 0.100000
1753259669.540483 6.104220 -0.031944 0.038791 0.500000 0.028648 0.764777 0.100000
1753259669.641992 6.154176 -0.029934 0.041691 0.500000 0.028648 0.800634 0.100000
1753259669.741133 6.204124 -0.027778 0.044409 0.500000 0.019814 0.844109 0.100000
1753259669.841324 6.254068 -0.025505 0.046469 0.500000 0.019814 0.911154 0.100000
1753259669.941526 6.304010 -0.023141 0.047862 0.500000 0.008472 0.979189 0.100000
1753259670.041764 6.353950 -0.020732 0.048568 0.500000 0.008472 1.052096 0.100000
1753259670.141770 6.403886 -0.018278 0.049897 0.500000 0.018821 1.117596 0.100000
1753259670.240805 6.453816 -0.015733 0.051967 0.500000 0.018821 1.179672 0.100000
1753259670.341220 6.503744 -0.013094 0.053185 0.500000 0.000000 1.251473 0.100000
1753259670.441443 6.553671 -0.010440 0.053033 0.500000 0.000000 1.321868 0.100000
1753259670.541623 6.603600 -0.007797 0.052509 0.500000 -0.012077 1.391872 0.100000
1753259670.641873 6.653530 -0.005200 0.051443 0.500000 -0.012077 1.458889 0.100000
1753259670.741045 6.703458 -0.002645 0.051463 0.500000 0.020643 1.506543 0.100000
1753259670.841186 6.753388 -0.000023 0.053435 0.500000 0.020643 1.573263 0.100000
1753259670.941365 6.803312 0.002689 0.054860 0.500000 0.008475 1.639878 0.100000
1753259671.041735 6.853233 0.005452 0.055728 0.500000 0.008475 1.709335 0.100000
1753259671.141779 6.903148 0.008266 0.057194 0.500000 0.020258 1.758104 0.100000
1753259671.241941 6.953060 0.011177 0.059283 0.500000 0.020258 1.709467 0.100000
1753259671.342021 7.002741 0.014177 0.061542 0.477773 0.030536 1.663945 0.100000
1753259671.441243 7.050613 0.017195 0.064446 0.477773 0.030536 1.619079 0.100000
1753259671.541189 7.098557 0.020360 0.067124 0.500000 0.019389 1.570615 0.100000
1753259671.641242 7.148286 0.023755 0.069223 0.500000 0.019389 1.524598 0.100000
1753259671.741356 7.198159 0.027261 0.070874 0.500000 0.010406 1.479076 0.100000
1753259671.841493 7.248029 0.030824 0.071761 0.500000 0.010406 1.431518 0.100000
1753259671.941532 7.297897 0.034434 0.073003 0.500000 0.018770 1.387008 0.100000
1753259672.042695 7.347756 0.038129 0.074994 0.500000 0.018770 1.341538 0.100000
1753259672.142853 7.397606 0.041923 0.076734 0.500000 0.009677 1.295398 0.100000
1753259672.243071 7.447455 0.045781 0.077689 0.500000 0.009677 1.251954 0.100000
1753259672.342218 7.497300 0.049678 0.078134 0.500000 0.000000 1.207674 0.100000
1753259672.443288 7.547146 0.053578 0.078076 0.500000 0.000000 1.177673 0.100000
1753259672.543252 7.596990 0.057481 0.078214 0.500000 0.000000 1.133958 0.100000
1753259672.642227 7.646830 0.061392 0.078376 0.500000 0.000000 1.092368 0.100000
1753259672.742403 7.696675 0.065305 0.078276 0.500000 0.000000 1.052451 0.100000
1753259672.842582 7.746520 0.069210 0.078089 0.500000 0.000000 1.010352 0.100000
1753259672.942699 7.796365 0.073106 0.077709 0.500000 -0.011617 0.969797 0.100000
1753259673.042812 7.846213 0.076962 0.076717 0.500000 -0.011617 0.930208 0.100000
1753259673.142823 7.896063 0.080765 0.075323 0.500000 -0.020089 0.892024 0.100000
1753259673.243011 7.945923 0.084475 0.073172 0.500000 -0.020089 0.856029 0.100000
1753259673.343064 7.995791 0.088078 0.071338 0.500000 -0.011738 0.821903 0.100000
1753259673.443228 8.045662 0.091614 0.070252 0.500000 -0.011738 0.788089 0.100000
1753259673.543359 8.095536 0.095091 0.068391 0.500000 -0.040712 0.754658 0.100000
1753259673.642583 8.145422 0.098409 0.064348 0.500000 -0.040712 0.725875 0.100000
1753259673.742804 8.195323 0.101521 0.060431 0.500000 -0.031494 0.700410 0.100000
1753259673.843148 8.245235 0.104458 0.057164 0.500000 -0.031494 0.672946 0.100000
1753259673.943281 8.295155 0.107235 0.053766 0.500000 -0.041771 0.653677 0.100000
1753259674.043394 8.345081 0.109822 0.049765 0.500000 -0.041771 0.633180 0.100000
1753259674.143464 8.395021 0.112209 0.045985 0.500000 -0.030171 0.622526 0.100000
1753259674.242965 8.444969 0.114427 0.042768 0.500000 -0.030171 0.609748 0.100000
1753259674.343126 8.494925 0.116491 0.040050 0.500000 -0.021183 0.599612 0.100000
1753259674.443134 8.544881 0.118443 0.038114 0.500000 -0.021183 0.596091 0.100000
1753259674.543308 8.594841 0.120296 0.035804 0.500000 -0.029635 0.593686 0.100000
1753259674.645357 8.644809 0.122010 0.032723 0.500000 -0.029635 0.595594 0.100000
1753259674.744463 8.694783 0.123571 0.029936 0.500000 -0.021095 0.596278 0.100000
1753259674.844632 8.744759 0.125015 0.027874 0.500000 -0.021095 0.597723 0.100000
1753259674.943785 8.794737 0.126357 0.025623 0.500000 -0.029962 0.597787 0.100000
1753259675.043895 8.844718 0.127565 0.022689 0.500000 -0.029962 0.598423 0.100000
1753259675.143690 8.894705 0.128624 0.019835 0.500000 -0.020307 0.599083 0.100000
1753259675.243957 8.944694 0.129560 0.017664 0.500000 -0.020307 0.598774 0.100000
1753259675.344164 8.994683 0.130398 0.016138 0.500000 -0.009929 0.599698 0.100000
1753259675.443325 9.044672 0.131184 0.015303 0.500000 -0.009929 0.599721 0.100000
1753259675.543515 9.094663 0.131922 0.013969 0.500000 -0.019250 0.577022 0.100000
1753259675.643680 9.144656 0.132568 0.011863 0.500000 -0.019250 0.543699 0.100000
1753259675.744039 9.194652 0.133114 0.010208 0.500000 -0.010440 0.519410 0.100000
1753259675.844324 9.244646 0.133601 0.009297 0.500000 -0.010440 0.510197 0.100000
1753259675.943475 9.294638 0.134041 0.008091 0.500000 -0.019470 0.506745 0.100000
1753259676.043701 9.344635 0.134396 0.006061 0.500000 -0.019470 0.514264 0.100000
1753259676.143893 9.394632 0.134648 0.004224 0.500000 -0.010897 0.533462 0.100000
1753259676.243961 9.444629 0.134831 0.003144 0.500000 -0.010897 0.564552 0.100000
1753259676.344127 9.494625 0.134969 0.002627 0.500000 0.000000 0.598318 0.100000
1753259676.444304 9.544620 0.135104 0.002731 0.500000 0.000000 0.597114 0.100000
1753259676.544450 9.594618 0.135234 0.002175 0.500000 -0.010869 0.597790 0.100000
1753259676.643538 9.644616 0.135310 0.000932 0.500000 -0.010869 0.596015 0.100000
1753259676.743767 9.694613 0.135333 0.000246 0.500000 -0.000932 0.596603 0.100000
1753259676.843880 9.744608 0.135348 0.000321 0.500000 -0.000932 0.596143 0.100000
1753259676.944051 9.794605 0.135360 -0.000066 0.500000 -0.009703 0.595487 0.100000
1753259677.044288 9.844603 0.135329 -0.001212 0.500000 -0.009703 0.595516 0.100000
1753259677.144503 9.894351 0.135244 -0.001924 0.000000 0.000000 0.593860 0.100000
1753259677.244696 9.941629 0.135155 -0.001816 0.000000 0.000000 0.594227 0.100000
1753259677.343969 9.986453 0.135067 -0.003224 0.500000 -0.072531 0.594095 0.100000
1753259677.444271 10.033290 0.134747 -0.010458 0.500000 -0.072531 0.591658 0.100000
1753259677.544209 10.082819 0.134047 -0.017559 0.500000 -0.063207 0.590561 0.100000
1753259677.644310 10.132807 0.133008 -0.023953 0.500000 -0.063207 0.588116 0.100000
1753259677.744530 10.182785 0.131653 -0.030462 0.500000 -0.073355 0.585087 0.100000
1753259677.846791 10.232750 0.129951 -0.037645 0.500000 -0.073355 0.581421 0.100000
1753259677.946978 10.282704 0.127882 -0.045422 0.500000 -0.083382 0.578264 0.100000
1753259678.047064 10.332641 0.125399 -0.053932 0.500000 -0.083382 0.574079 0.100000
1753259678.147187 10.382554 0.122490 -0.062746 0.500000 -0.095194 0.570818 0.100000
1753259678.247350 10.432437 0.119121 -0.072108 0.500000 -0.095194 0.568093 0.100000
1753259678.347468 10.482287 0.115295 -0.080111 0.500000 0.106021 0.568655 0.100000
1753259678.447741 10.532131 0.111370 -0.074605 0.500000 0.106021 0.577177 0.100000
1753259678.547887 10.582009 0.107912 -0.062832 0.500000 0.219533 0.589672 0.100000
1753259678.647930 10.631934 0.105293 -0.041443 0.500000 0.219533 0.607806 0.100000
1753259678.748057 10.681900 0.103773 -0.019599 0.500000 0.210780 0.631750 0.100000
1753259678.848229 10.731892 0.103324 0.001567 0.500000 0.210780 0.659045 0.100000
1753259678.948306 10.781887 0.103922 0.022087 0.500000 0.199380 0.690213 0.100000
1753259679.048304 10.831860 0.105521 0.041913 0.500000 0.199380 0.723719 0.100000
1753259679.148540 10.881786 0.108106 0.060555 0.500000 0.125077 0.759563 0.100000
1753259679.247683 10.931665 0.111450 0.073286 0.500000 0.125077 0.811467 0.100000
1753259679.347757 10.981506 0.115414 0.084466 0.500000 0.052820 0.899383 0.100000
1753259679.447942 11.031316 0.119761 0.089601 0.500000 0.052820 0.980654 0.100000
1753259679.548075 11.081102 0.124360 0.094361 0.500000 0.040417 1.064837 0.100000
1753259679.648076 11.130865 0.129174 0.098554 0.500000 0.040417 1.148720 0.100000
1753259679.748253 11.180605 0.134194 0.102457 0.500000 0.032983 1.236027 0.100000
1753259679.848459 11.230331 0.139389 0.105670 0.500000 0.032983 1.318873 0.100000
1753259679.948652 11.280042 0.144743 0.109123 0.500000 0.041556 1.399985 0.100000
1753259680.047906 11.329730 0.150291 0.113295 0.500000 0.041556 1.487840 0.100000
1753259680.148135 11.379392 0.156047 0.117289 0.500000 0.032419 1.579481 0.100000
1753259680.248306 11.429033 0.161980 0.120599 0.500000 0.032419 1.600378 0.100000
1753259680.348302 11.478659 0.168065 0.122534 0.500000 -0.083758 1.585673 0.100000
1753259680.448540 11.528303 0.174002 0.114876 0.500000 -0.083758 1.572281 0.100000
1753259680.548753 11.577994 0.179529 0.106917 0.500000 -0.073574 1.562272 0.100000
1753259680.652305 11.627723 0.184684 0.099696 0.500000 -0.073574 1.554040 0.100000
1753259680.748225 11.677489 0.189475 0.091977 0.500000 -0.083001 1.546035 0.100000
