# 时间戳 X坐标 Y坐标 朝向角度 线速度 角速度 障碍物距离 计算时间
# 单位:  秒   米    米    弧度   米/秒  弧度/秒   米      秒
1753260554.662269 -0.000108 0.000000 -0.000035 0.000000 0.000000 0.765602 0.100000
1753260554.763627 -0.000110 0.000000 -0.000035 0.000000 0.000000 0.766878 0.100000
1753260554.870068 -0.000109 0.000000 -0.000053 0.199979 -0.005135 0.765414 0.100000
1753260554.982847 0.001532 -0.000001 -0.000555 0.199979 -0.005135 0.771103 0.100000
1753260555.109365 0.006171 -0.000004 -0.001088 0.230789 -0.010127 0.778735 0.100000
1753260555.250620 0.013809 -0.000017 -0.002076 0.230789 -0.010127 0.787885 0.100000
1753260555.403548 0.024448 -0.000044 -0.003027 0.290785 -0.004763 0.807359 0.100000
1753260555.527910 0.038086 -0.000089 -0.003481 0.290785 -0.004763 0.827630 0.100000
1753260555.633324 0.054724 -0.000151 -0.003928 0.332322 0.000000 0.853214 0.100000
1753260555.737759 0.074363 -0.000228 -0.003924 0.332322 0.000000 0.883346 0.100000
1753260555.838934 0.097001 -0.000316 -0.003900 0.410782 0.005402 0.918531 0.100000
1753260555.939162 0.122639 -0.000411 -0.003426 0.410782 0.005402 0.957409 0.100000
1753260556.041468 0.151278 -0.000501 -0.002899 0.470788 0.000000 1.002792 0.100000
1753260556.141728 0.182917 -0.000589 -0.002768 0.470788 0.000000 1.048154 0.100000
1753260556.242979 0.217555 -0.000685 -0.002764 0.500000 0.005017 1.101864 0.100000
1753260556.343158 0.255192 -0.000784 -0.002364 0.500000 0.005017 1.138190 0.100000
1753260556.443263 0.295827 -0.000868 -0.001763 0.500000 0.010969 1.198435 0.100000
1753260556.543403 0.339463 -0.000926 -0.000827 0.500000 0.010969 1.259496 0.100000
1753260556.643604 0.386101 -0.000940 0.000218 0.500000 0.000000 1.330118 0.100000
1753260556.743633 0.435519 -0.000913 0.000608 0.500000 0.000000 1.401816 0.100000
1753260556.843642 0.485516 -0.000883 0.000621 0.500000 0.000000 1.470586 0.100000
1753260556.943597 0.535511 -0.000848 0.000774 0.500000 0.000000 1.541057 0.100000
1753260557.043704 0.585506 -0.000807 0.000843 0.500000 0.000000 1.614945 0.100000
1753260557.143847 0.635503 -0.000767 0.000716 0.500000 0.000000 1.687575 0.100000
1753260557.244029 0.685501 -0.000736 0.000582 0.500000 0.000000 1.760261 0.100000
1753260557.344257 0.735498 -0.000706 0.000655 0.500000 0.000000 1.831012 0.100000
1753260557.444523 0.785493 -0.000669 0.000821 0.500000 -0.002858 1.900309 0.100000
1753260557.544749 0.835491 -0.000629 0.000680 0.500000 -0.002858 1.944813 0.100000
1753260557.643858 0.885488 -0.000606 0.000217 0.500000 0.000000 1.881313 0.100000
1753260557.743972 0.935486 -0.000603 0.000004 0.500000 0.000000 1.815755 0.100000
