# 时间戳 X坐标 Y坐标 朝向角度 线速度 角速度 障碍物距离 计算时间
# 单位:  秒   米    米    弧度   米/秒  弧度/秒   米      秒
1753261788.560267 -0.000004 0.000000 -0.000003 0.000000 0.000000 0.768221 0.100000
1753261788.659534 -0.000004 0.000000 -0.000003 0.000000 0.000000 0.766151 0.100000
1753261788.759806 -0.000005 0.000000 -0.000003 0.000000 0.000000 0.767112 0.100000
1753261788.860106 -0.000005 0.000000 -0.000003 0.000000 0.000000 0.767677 0.100000
1753261788.960308 -0.000006 0.000000 -0.000004 0.000000 0.000000 0.767760 0.100000
1753261789.060504 -0.000006 0.000000 -0.000004 0.000000 0.000000 0.766508 0.100000
1753261789.160669 -0.000007 0.000000 -0.000004 0.000000 0.000000 0.767673 0.100000
1753261789.260839 -0.000007 0.000000 -0.000005 0.000000 0.000000 0.767423 0.100000
1753261789.360121 -0.000008 0.000000 -0.000005 0.000000 0.000000 0.766773 0.100000
1753261789.460517 -0.000008 0.000000 -0.000005 0.000000 0.000000 0.767857 0.100000
1753261789.560750 -0.000009 0.000000 -0.000005 0.000000 0.000000 0.767927 0.100000
1753261789.660942 -0.000010 0.000000 -0.000006 0.000000 0.000000 0.767472 0.100000
1753261789.761153 -0.000010 0.000000 -0.000006 0.000000 0.000000 0.767358 0.100000
1753261789.860365 -0.000011 0.000000 -0.000006 0.000000 0.000000 0.767477 0.100000
1753261789.960527 -0.000011 0.000000 -0.000007 0.000000 0.000000 0.767423 0.100000
1753261790.060746 -0.000012 0.000000 -0.000007 0.000000 0.000000 0.767333 0.100000
1753261790.160960 -0.000012 0.000000 -0.000007 0.000000 0.000000 0.767759 0.100000
1753261790.261226 -0.000013 0.000000 -0.000007 0.000000 0.000000 0.766356 0.100000
1753261790.360503 -0.000013 0.000000 -0.000008 0.000000 0.000000 0.766624 0.100000
1753261790.460815 -0.000014 0.000000 -0.000008 0.000000 0.000000 0.767845 0.100000
1753261790.561093 -0.000014 0.000000 -0.000008 0.000000 0.000000 0.767807 0.100000
1753261790.661428 -0.000015 0.000000 -0.000009 0.000000 0.000000 0.766905 0.100000
1753261790.760740 -0.000016 0.000000 -0.000009 0.000000 0.000000 0.766358 0.100000
1753261790.860870 -0.000016 0.000000 -0.000009 0.000000 0.000000 0.766742 0.100000
1753261790.961174 -0.000017 0.000000 -0.000009 0.000000 0.000000 0.765873 0.100000
1753261791.061501 -0.000017 0.000000 -0.000010 0.000000 0.000000 0.767077 0.100000
1753261791.161698 -0.000018 0.000000 -0.000010 0.000000 0.000000 0.765616 0.100000
1753261791.261927 -0.000018 0.000000 -0.000010 0.000000 0.000000 0.766718 0.100000
1753261791.362073 -0.000019 0.000000 -0.000011 0.000000 0.000000 0.767964 0.100000
1753261791.461296 -0.000019 0.000000 -0.000011 0.000000 0.000000 0.765286 0.100000
1753261791.561528 -0.000020 0.000000 -0.000011 0.000000 0.000000 0.766975 0.100000
1753261791.661860 -0.000021 0.000000 -0.000011 0.000000 0.000000 0.767171 0.100000
1753261791.762158 -0.000021 0.000000 -0.000012 0.000000 0.000000 0.767413 0.100000
1753261791.862414 -0.000022 0.000000 -0.000012 0.000000 0.000000 0.767404 0.100000
1753261791.961591 -0.000022 0.000000 -0.000012 0.000000 0.000000 0.767193 0.100000
1753261792.061804 -0.000023 0.000000 -0.000013 0.000000 0.000000 0.766121 0.100000
1753261792.162013 -0.000023 0.000000 -0.000013 0.000000 0.000000 0.768093 0.100000
1753261792.262193 -0.000024 0.000000 -0.000013 0.000000 0.000000 0.767065 0.100000
1753261792.362366 -0.000024 0.000000 -0.000013 0.000000 0.000000 0.767654 0.100000
1753261792.462661 -0.000025 0.000000 -0.000014 0.000000 0.000000 0.767939 0.100000
1753261792.562828 -0.000025 0.000000 -0.000014 0.000000 0.000000 0.767059 0.100000
1753261792.662037 -0.000026 0.000000 -0.000014 0.000000 0.000000 0.768169 0.100000
1753261792.762256 -0.000027 0.000000 -0.000015 0.000000 0.000000 0.766423 0.100000
1753261792.862632 -0.000027 0.000000 -0.000015 0.000000 0.000000 0.766045 0.100000
1753261792.962773 -0.000028 0.000000 -0.000015 0.000000 0.000000 0.766568 0.100000
1753261793.062988 -0.000028 0.000000 -0.000015 0.000000 0.000000 0.767930 0.100000
1753261793.162214 -0.000029 0.000000 -0.000016 0.000000 0.000000 0.767308 0.100000
1753261793.262451 -0.000029 0.000000 -0.000016 0.000000 0.000000 0.767197 0.100000
1753261793.362639 -0.000030 0.000000 -0.000016 0.000000 0.000000 0.767609 0.100000
1753261793.462933 -0.000030 0.000000 -0.000017 0.000000 0.000000 0.765792 0.100000
1753261793.563072 -0.000031 0.000000 -0.000017 0.000000 0.000000 0.767775 0.100000
1753261793.663260 -0.000031 0.000000 -0.000017 0.000000 0.000000 0.767912 0.100000
1753261793.762412 -0.000032 0.000000 -0.000017 0.000000 0.000000 0.767625 0.100000
1753261793.862591 -0.000033 0.000000 -0.000018 0.000000 0.000000 0.767314 0.100000
1753261793.962858 -0.000033 0.000000 -0.000018 0.000000 0.000000 0.765153 0.100000
1753261794.063186 -0.000034 0.000000 -0.000018 0.000000 0.000000 0.767195 0.100000
1753261794.163411 -0.000034 0.000000 -0.000019 0.000000 0.000000 0.767162 0.100000
1753261794.263574 -0.000035 0.000000 -0.000019 0.000000 0.000000 0.765694 0.100000
1753261794.362816 -0.000035 0.000000 -0.000019 0.000000 0.000000 0.766682 0.100000
1753261794.462978 -0.000036 0.000000 -0.000019 0.000000 0.000000 0.766999 0.100000
1753261794.563221 -0.000036 0.000000 -0.000020 0.000000 0.000000 0.767400 0.100000
1753261794.663471 -0.000037 0.000000 -0.000020 0.000000 0.000000 0.767519 0.100000
1753261794.763648 -0.000038 0.000000 -0.000020 0.000000 0.000000 0.767876 0.100000
1753261794.863748 -0.000038 0.000000 -0.000021 0.000000 0.000000 0.766762 0.100000
1753261794.963985 -0.000039 0.000000 -0.000021 0.000000 0.000000 0.766729 0.100000
